# this is a comment for first testing the odometry frame goal use...
# x,	y,		z,	waittime,	roll,	pitch,	yaw
# just some comment....
0.0,	0.0,	0.0,	0,	0,	0,	1.57
0.0,	0.1,	0.0,	0,	0,	0,	0.0
1.0,	0.1,	0.0,	0,	0,	0,	1.57
1.0,	0.2,	0.0,	0,	,	,	3.14
0.0,	0.2,	0.0,	0,	,	,	1.57
0.0,	0.3,	0.0,	0,	,	,	0.0
1.0,	0.3,	0.0,	0,	,	,	1.57	
1.0,	0.4,	0.0,	0,	,	,	3.14
0.0,	0.4,	0.0,	0,	,	,	1.57
0.0,	0.5,	0.0,	0,	,	,	0
1.0,	0.5,	0.0,	0,	,	,	1.57
1.0,	0.6,	0.0,	0,	,	,	3.14
0.0,	0.6,	0.0,	0,	,	,	1.57
0.0,	0.7,	0.0,	0,	,	,	0.0
1.0,	0.7,	0.0,	0,	,	,	1.57
1.0,	0.8,	0.0,	0,	,	,	3.14
0.0,	0.8,	0.0,	0,	,	,	1.57
0.0,	0.9,	0.0,	0,	,	,	0.0
1.0,	0.9,	0.0,	0,	,	,	1.57
1.0,	1.0,	0.0,	0,	,	,	3.14
0.0,	1.0,	0.0,	0,	,	,	1.57
0.0,	1.1,	0.0,	0,	,	,	0
1.0,	1.1,	0.0,	0,	,	,	1.57	
1.0,	1.2,	0.0,	0,	,	,	3.14
0.0,	1.2,	0.0,	0,	,	,	1.57
0.0,	0.01,	0.0,	0,	,	,	0
0.0,	0.01,	0.01,	0,	,	,	1.57
