# this is a comment for first testing
# x,	y,		z,	waittime,	roll,	pitch,	yaw
0.0,	0.01,	0.0,	0.1,	1.56,	0.0,	3.1415
0.0,	0.1,	0.0,	0.1,	,	,
1.0,	0.1,	0.0,	0.1,	,	,
1.0,	0.2,	0.0,	0.1,	,	,
#repeat of the same part once...
0.0,	0.2,	0.0,	0.1,	,	,
0.0,	0.3,	0.0,	0.1,	,	,
1.0,	0.3,	0.0,	0.1,	,	,
1.0,	0.4,	0.0,	0.1,	,	,
0.0,	0.4,	0.0,	0.1,	,	,
0.0,	0.5,	0.0,	0.1,	,	,
1.0,	0.5,	0.0,	0.1,	,	,
1.0,	0.6,	0.0,	0.1,	,	,
0.0,	0.6,	0.0,	0.1,	,	,
0.0,	0.7,	0.0,	0.1,	,	,
1.0,	0.7,	0.0,	0.1,	,	,
1.0,	0.8,	0.0,	0.1,	,	,
0.0,	0.8,	0.0,	0.1,	,	,
0.0,	0.9,	0.0,	0.1,	,	,
1.0,	0.9,	0.0,	0.1,	,	,
1.0,	1.0,	0.0,	0.1,	,	,
0.0,	1.0,	0.0,	0.1,	,	,
0.0,	1.1,	0.0,	0.1,	,	,
1.1,	1.1,	0.0,	0.1,	,	,
1.0,	1.2,	0.0,	0.1,	,	,
0.0,	1.2,	0.0,	0.1,	,	,
0.0,	0.01,	0.0,	0.1,	,	,
0.0,	0.01,	0.01,	0.155,	1.56,	0.0,	3.1415
